"Horodateur","Ça va ?","Quel type de musique écoutez vous le plus ? ","Depuis combien de temps écoutez-vous le style choisi ?","Quel autre type de musique écoutez vous ? (Non obligatoire)","Suite à la question précédente, depuis combien de temps écoutez-vous le deuxième style choisi s'il existe ?","Sur quelle plateforme écoutez vous de la musique ?","Sur quel support écoutez vous de la musique ?","Durant combien de temps écoutez vous de la musique par semaine ?","Êtes-vous un homme ou une femme ?","Avant d'arriver aux Mines d'Alès, quel type d'établissement scolaire fréquentiez-vous ?","Quel est votre GPA ? (à 0.1 près, les deux chiffres séparés par un point)","Pratiquez vous du sport et/ou jouez vous de la musique ?","En dehors des périodes scolaires, habitez-vous en zone rurale ou urbaine ?","Êtes-vous boursier ?"
"2020/02/04 5:24:29 PM UTC+1","Oui","Musique électronique","Depuis le lycée","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Femme","CPGE","3","Les deux","2","Non"
"2020/02/04 5:25:28 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","mon enceinte et mon casque audio de type bose à réduction de bruit active hyper pratique que j'ai reçu à noel il y a 3 ans je pense, mais je ne suis pas bien sur, je revérifierais et je referais une réponse au sondage","Plus de 8 heures","Homme","CPGE","eh bah alors on a oublié de forcer la case GPA à être un chiffre dis donc, ça c'est vraiment dommage, j'aimerais avoir à traiter les résultats de ce sondage ( j'ai trois virgule quatre de gépéä bande de nazes)","Aucun des deux","1","Non"
"2020/02/04 5:25:29 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rock/Metal","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Femme","CPGE","3.3","Les deux","3","Oui"
"2020/02/04 5:25:48 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Homme","CPGE","1A","Je fais du sport","2","Non"
"2020/02/04 5:26:15 PM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 4 et 8 heures","Femme","CPGE","3.2","Je joue d'un instrument","2","Oui"
"2020/02/04 5:27:47 PM UTC+1","Oui","Vive la délégué Magali Arhainx !!!","Depuis le lycée","Vive le délégué Thomas Ioos !!!","Depuis l'entrée en études supérieures","Je compose moi-même pour plus de bonheur.","Les basses de la mazda sont les meilleures qui soient !!!","Entre 4 et 8 heures","Homme","CPGE","Beaucoup moins que la major de 2IA : Magali . Mais suffisamment pour goumer les personnes faisant japonais depuis 2ans #KeioUniversity <3","Je fais du sport","2","Non"
"2020/02/04 5:27:56 PM UTC+1","Bien sûr","Reggae","Depuis le lycée","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Homme","CPGE","3,2","Je fais du sport","4","Non"
"2020/02/04 5:28:31 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Homme","CPGE","2.9","Je fais du sport","3","Oui"
"2020/02/04 5:28:45 PM UTC+1","Oui","Jazz","Depuis l'entrée en études supérieures","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","DUT","3.05","Je joue d'un instrument","2","Oui"
"2020/02/04 5:29:38 PM UTC+1","Bien sûr","Pop/Commercial","Depuis ma prime jeunesse","Rock/Metal","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Femme","CPGE","Je n’en ai pas encore","Les deux","4","Non"
"2020/02/04 5:29:46 PM UTC+1","Oui","Acoustique ","Depuis mon arrivée aux Mines d'Alès","Pop/Commercial","Depuis ma prime jeunesse","Achat d'albums physiques / dématérialisés","Voiture","Entre 1 et 2 heures","Femme","CPGE","3.35","Aucun des deux","2","Oui"
"2020/02/04 5:31:18 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Musique électronique","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Both ","Plus de 8 heures","Homme","CPGE","3.3","Je fais du sport","4","Non"
"2020/02/04 5:32:16 PM UTC+1","Oui","Rap/Musique de type street","Depuis le lycée","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.38","Je fais du sport","4","Non"
"2020/02/04 5:32:31 PM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","Jazz","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Plus de 8 heures","Homme","CPGE","3....5","Aucun des deux","1","Non"
"2020/02/04 5:33:41 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Électro","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Plus de 8 heures","Homme","CPGE","Ne sais pas","Aucun des deux","1","Non"
"2020/02/04 5:35:12 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le lycée","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","Je sais pas gros","Je fais du sport","4","Non"
"2020/02/04 5:35:29 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le collège","Rap/Musique de type street","","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Femme","CPGE","2.7","Je fais du sport","4","Non"
"2020/02/04 5:35:48 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.2","Les deux","3","Non"
