"Horodateur","Ça va ?","Quel type de musique écoutez vous le plus ? ","Depuis combien de temps écoutez-vous le style choisi ?","Quel autre type de musique écoutez vous ? (Non obligatoire)","Suite à la question précédente, depuis combien de temps écoutez-vous le deuxième style choisi s'il existe ?","Sur quelle plateforme écoutez vous de la musique ?","Sur quel support écoutez vous de la musique ?","Durant combien de temps écoutez vous de la musique par semaine ?","Êtes-vous un homme ou une femme ?","Avant d'arriver aux Mines d'Alès, quel type d'établissement scolaire fréquentiez-vous ?","Quel est votre GPA ? (à 0.1 près, les deux chiffres séparés par un point)","Pratiquez vous du sport et/ou jouez vous de la musique ?","En dehors des périodes scolaires, habitez-vous en zone rurale ou urbaine ?","Êtes-vous boursier ?"
"2020/02/04 8:05:40 PM UTC+1","Bien sûr","Rock/Metal","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","CPGE","Aucune idée jsuis en 1a","Je fais du sport","3","Non"
"2020/02/04 8:11:46 PM UTC+1","Bien sûr","Pop/Commercial","Depuis ma prime jeunesse","Classique","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Femme","CPGE","3.4","Je fais du sport","1","Non"
"2020/02/04 8:25:35 PM UTC+1","Oui","Musique électronique","Depuis mon arrivée aux Mines d'Alès","Classique ! (honte à vous de pas l'avoir proposé)","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 2 et 4 heures","Homme","CPGE","3.1","Je joue d'un instrument","1","Oui"
"2020/02/04 8:28:44 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le lycée","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Homme","DUT","3.0","Aucun des deux","4","Je suis salarié"
"2020/02/04 8:30:54 PM UTC+1","Oui","Rap/Musique de type street","Depuis l'entrée en études supérieures","Musique électronique","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.0","Je fais du sport","1","Oui"
"2020/02/04 8:37:47 PM UTC+1","Bien sûr","Musique locale de mon pays ","Depuis ma prime jeunesse","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 2 et 4 heures","Femme","Autre grande école","3,12","Aucun des deux","2","Oui"
"2020/02/04 9:09:48 PM UTC+1","Bien sûr","Rock/Metal","Depuis le lycée","Reggae","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Plus de 8 heures","Homme","CPGE","3","Les deux","1","Oui"
"2020/02/04 9:27:27 PM UTC+1","Oui","Rock/Metal","Depuis le lycée","Musique électronique","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 2 et 4 heures","Homme","CPGE","3.0","Aucun des deux","3","Oui"
"2020/02/04 9:36:30 PM UTC+1","Oui","Pop/Commercial","Depuis le lycée","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 2 et 4 heures","Femme","CPGE","Je sais pas encore ^^","Les deux","3","Non"
"2020/02/04 9:52:00 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis ma prime jeunesse","Radio","Voiture","Entre 1 et 2 heures","Femme","CPGE","3.5","Je fais du sport","3","Oui"
"2020/02/04 10:04:36 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Musique électronique","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Homme","Fac","3.2","Je fais du sport","4","Oui"
"2020/02/04 10:06:28 PM UTC+1","Bien sûr","musique classique","Depuis ma prime jeunesse","Rock/Metal","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Femme","BTS","3.5","Les deux","3","Oui"
"2020/02/04 10:31:46 PM UTC+1","Oui","Rap/Musique de type street","Depuis mon arrivée aux Mines d'Alès","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Homme","DUT","3.3","Les deux","2","Je suis salarié"
"2020/02/04 10:56:23 PM UTC+1","Oui","Rock et Pop japonaise","Depuis le lycée","Pop/Commercial","Depuis ma prime jeunesse","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Plus de 8 heures","Homme","CPGE","3","Je joue d'un instrument","1","Non"
"2020/02/04 11:09:46 PM UTC+1","Oui","Musique électronique","Depuis le lycée","Rock/Metal","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.3","Les deux","1","Oui"
"2020/02/04 11:15:40 PM UTC+1","Bien sûr","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 4 et 8 heures","Homme","CPGE","2.90","Je fais du sport","4","Oui"
"2020/02/04 11:21:39 PM UTC+1","Bien sûr","Rock/Metal","Depuis ma prime jeunesse","Pop/Commercial","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","Mon université d'origine au Brésil","2.88","Je fais du sport","4","Non"
"2020/02/05 12:05:30 AM UTC+1","Oui","Bandes originales de films/jeux vidéos","Depuis le lycée","Rock/Metal","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 1 et 2 heures","Femme","CPGE","2.8","Aucun des deux","3","Non"
"2020/02/05 1:14:55 AM UTC+1","Oui","Pop/Commercial","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 1 et 2 heures","Homme","CPGE","je n en ai pas bordel je suis en 1A","Je fais du sport","4","Non"
"2020/02/05 7:10:48 AM UTC+1","Bien sûr","Pop/Commercial","Depuis le collège","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Femme","Fac",".","Aucun des deux","3","Oui"
"2020/02/05 7:54:45 AM UTC+1","Oui","Rap/Musique de type street","Depuis l'entrée en études supérieures","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.2","Je fais du sport","1","Non"
"2020/02/05 8:20:16 AM UTC+1","Oui","Rap/Musique de type street","Depuis l'entrée en études supérieures","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Femme","CPGE","3.1","Je fais du sport","2","Non"
"2020/02/05 8:45:54 AM UTC+1","Oui","Rock/Metal","Depuis le lycée","Musique électronique","Depuis mon arrivée aux Mines d'Alès","Via des fichiers MP3 obtenus par des moyens chaloupé","Voiture","Entre 4 et 8 heures","Homme","CPGE","2.9","Les deux","3","Oui"
"2020/02/05 8:47:26 AM UTC+1","Oui","Rap/Musique de type street","Depuis le lycée","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","DUT","3.5","Je fais du sport","2","Je suis salarié"
"2020/02/05 8:56:21 AM UTC+1","Bien sûr","Rap/Musique de type street","Depuis ma prime jeunesse","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Homme","CPGE","2.8","Je fais du sport","3","Oui"
"2020/02/05 8:57:40 AM UTC+1","Oui","Rock/Metal","Depuis le lycée","Bandes originales de films/jeux vidéos","Depuis l'entrée en études supérieures","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 4 et 8 heures","Homme","CPGE","3.7","Aucun des deux","2","Non"
"2020/02/05 9:01:50 AM UTC+1","Oui","Pop/Commercial","Depuis le lycée","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 1 et 2 heures","Femme","CPGE","Je ne sais pas","Je fais du sport","3","Non"
"2020/02/05 9:05:21 AM UTC+1","Oui","Rock/Metal","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.6","Les deux","2","Oui"
"2020/02/05 9:08:20 AM UTC+1","Bien sûr","Pop/Commercial","Depuis le lycée","Chanson française","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Femme","CPGE","2.8","Je fais du sport","3","Non"
"2020/02/05 9:09:04 AM UTC+1","Bien sûr","Rock/Metal","Depuis le lycée","Musique électronique","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Homme","DUT","0","Je fais du sport","1","Je suis salarié"
"2020/02/05 9:15:16 AM UTC+1","Oui","Musique de tchoin #AyaLeS","Depuis ma prime jeunesse","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Femme","CPGE","3.25","Je fais du sport","2","Non"
"2020/02/05 9:20:02 AM UTC+1","Bien sûr","Techno, trans etc qui fait boum boum","Depuis mon arrivée aux Mines d'Alès","Stupeflip, Polo&Pan, Glass Animals...","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 1 et 2 heures","Homme","CPGE","3.2","Je fais du sport","4","Non"
"2020/02/05 9:21:47 AM UTC+1","Bien sûr","Rock/Metal","Depuis ma prime jeunesse","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Tous ces supports","Entre 4 et 8 heures","Femme","CPGE","3.0","Je fais du sport","3","Non"
"2020/02/05 9:23:46 AM UTC+1","Oui","Rap/Musique de type street","Depuis le collège","Classique","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 1 et 2 heures","Homme","CPGE","3.4","Je fais du sport","3","Non"
"2020/02/05 9:25:18 AM UTC+1","Oui","Pop/Commercial","Depuis mon arrivée aux Mines d'Alès","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Femme","CPGE","3","Je fais du sport","4","Non"
"2020/02/05 9:25:54 AM UTC+1","Oui","Pop/Commercial","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","CPGE","3.1","Je fais du sport","3","Non"
"2020/02/05 9:44:03 AM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 1 et 2 heures","Femme","CPGE","3.4","Je fais du sport","4","Non"
"2020/02/05 10:06:27 AM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","Pop/Commercial","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 2 et 4 heures","Femme","Fac","3.5","Je fais du sport","4","Oui"
"2020/02/05 10:18:10 AM UTC+1","Bien sûr","Rock/Metal","Depuis le lycée","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Femme","DUT","3.2","Je fais du sport","2","Je suis salarié"
"2020/02/05 10:33:59 AM UTC+1","Oui","Rock/Metal","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 4 et 8 heures","Femme","Autre grande école","Ne sais pas","Je fais du sport","2","Non"
"2020/02/05 10:56:05 AM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Bandes originales de films/jeux vidéos","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 2 et 4 heures","Femme","CPGE","3.5","Les deux","2","Non"
"2020/02/05 11:00:14 AM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Psytrance (pour moi c’est différent de musique électronique)","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 2 et 4 heures","Homme","CPGE","3","Aucun des deux","3","Je suis salarié"
"2020/02/05 11:32:40 AM UTC+1","Bien sûr","Rock/Metal","Depuis ma prime jeunesse","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Voiture","Entre 1 et 2 heures","Femme","DUT","1","Les deux","3","Je suis salarié"
"2020/02/05 11:43:52 AM UTC+1","Oui","Techno indus - Trap US - Jazz - ","Depuis l'entrée en études supérieures","","","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","3,5","Je fais du sport","2","Non"
"2020/02/05 11:53:05 AM UTC+1","Oui","Pop/Commercial","Depuis le lycée","Rock/Metal","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Ordinateur","Entre 2 et 4 heures","Homme","CPGE","3,6","Je fais du sport","2","Oui"
"2020/02/05 12:00:53 PM UTC+1","Oui","Rap/Musique de type street","Depuis le lycée","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 2 et 4 heures","Femme","CPGE","3","Les deux","1","Oui"
"2020/02/05 12:10:53 PM UTC+1","Bien sûr","Rock/Metal","Depuis ma prime jeunesse","Musique électronique","Depuis mon arrivée aux Mines d'Alès","Achat d'albums physiques / dématérialisés","Casque audio","Plus de 8 heures","Homme","CPGE","3.0","Je joue d'un instrument","2","Oui"
"2020/02/05 12:49:46 PM UTC+1","Oui","Rap/Musique de type street","Depuis le lycée","Musique électronique","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","2.9","Je fais du sport","2","Oui"
"2020/02/05 1:20:07 PM UTC+1","Oui","Classic","Depuis l'entrée en études supérieures","60s","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 1 et 2 heures","Homme","admission internationale","12","Aucun des deux","4","Non"
"2020/02/05 1:23:00 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","chaipa autour de 3","Je fais du sport","4","Non"
"2020/02/05 1:28:15 PM UTC+1","Oui","Rock/Metal","Depuis le lycée","Rap/Musique de type street","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 2 et 4 heures","Homme","Fac","3.1","Les deux","1","Non"
"2020/02/05 1:59:38 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le collège","Rap/Musique de type street","Depuis mon arrivée aux Mines d'Alès","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Voiture","Entre 2 et 4 heures","Homme","CPGE","3.6","Je fais du sport","2","Non"
"2020/02/05 2:10:41 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rock/Metal","Depuis l'entrée en études supérieures","Radio","Voiture","Entre 2 et 4 heures","Femme","CPGE","3.4","Je fais du sport","1","Oui"
"2020/02/05 2:28:45 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis ma prime jeunesse","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Femme","CPGE","3.3","Je fais du sport","2","Non"
"2020/02/05 2:43:56 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","Classique","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","3.4","Les deux","3","Non"
"2020/02/05 3:03:35 PM UTC+1","Oui","Rap/Musique de type street","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Homme","CPGE","?","Je fais du sport","1","Oui"
"2020/02/05 3:10:27 PM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio et enceinte ","Entre 1 et 2 heures","Homme","CPGE","Aucune idée","Je fais du sport","1","Non"
"2020/02/05 3:18:51 PM UTC+1","Oui","Rock/Metal","Depuis l'entrée en études supérieures","Jpop","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Plus de 8 heures","Femme","CPGE","3.0","Je joue d'un instrument","1","Non"
"2020/02/05 3:24:40 PM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Homme","DUT","3.3","Les deux","1","Je suis salarié"
"2020/02/05 3:37:56 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 4 et 8 heures","Femme","CPGE","3.1","Je fais du sport","1","Oui"
"2020/02/05 3:38:58 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Femme","Fac","?","Les deux","3","Non"
"2020/02/05 3:51:50 PM UTC+1","Bien sûr","House, Trance, Dance, Techno, Hard","Depuis ma prime jeunesse","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Homme","DUT","3.3","Je fais du sport","3","Je suis salarié"
"2020/02/05 4:11:35 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le collège","Musique électronique","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","CPGE","Null","Je fais du sport","3","Non"
"2020/02/05 4:12:02 PM UTC+1","Oui","Rock/Metal","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Femme","CPGE","2","Les deux","2","Non"
"2020/02/05 4:47:32 PM UTC+1","Oui","Bandes originales de films/jeux vidéos","Depuis le collège","Jazz","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 4 et 8 heures","Homme","CPGE","2,8","Je joue d'un instrument","4","Non"
"2020/02/05 5:01:34 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis mon arrivée aux Mines d'Alès","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","CPGE","3.4","Je fais du sport","3","Non"
"2020/02/05 5:32:35 PM UTC+1","Oui","Jazz","Depuis l'entrée en études supérieures","Rock/Metal","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","CPGE","3 ?","Les deux","4","Oui"
"2020/02/05 5:40:10 PM UTC+1","Oui","Bandes originales de films/jeux vidéos","Depuis le lycée","Reggae","Depuis mon arrivée aux Mines d'Alès","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Femme","CPGE","2,8","Les deux","4","Non"
"2020/02/05 5:44:08 PM UTC+1","Oui","Pop/Commercial","Depuis l'entrée en études supérieures","Reggae","Depuis mon arrivée aux Mines d'Alès","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 2 et 4 heures","Homme","CPGE","5.52","Je fais du sport","2","Oui"
"2020/02/05 5:46:47 PM UTC+1","Oui","Rock/Metal","Depuis le lycée","Bandes originales de films/jeux vidéos","Depuis l'entrée en études supérieures","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 1 et 2 heures","Homme","CPGE","Je sais po","Les deux","2","Non"
"2020/02/05 5:48:41 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","","","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Plus de 8 heures","Homme","CPGE","3","Je fais du sport","2","Oui"
"2020/02/05 5:53:06 PM UTC+1","Oui","Rock/Metal","Depuis ma prime jeunesse","Musique électronique","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","3","Les deux","1","Oui"
"2020/02/05 5:53:51 PM UTC+1","Oui","Variété française ","Depuis ma prime jeunesse","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Voiture","Entre 2 et 4 heures","Femme","CPGE","3.0","Je fais du sport","2","Non"
"2020/02/05 5:54:19 PM UTC+1","Oui","Musique électronique","Depuis le lycée","Bandes originales de films/jeux vidéos","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 1 et 2 heures","Homme","CPGE","Inconnu","Je fais du sport","3","Non"
"2020/02/05 6:35:24 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","DUT","?","Les deux","4","Je suis salarié"
"2020/02/05 8:31:11 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le collège","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","3.6","Les deux","2","Non"
"2020/02/05 10:03:46 PM UTC+1","Bien sûr","Vieux succès Pop,Rock et Pop/Rock actuel","Depuis l'entrée en études supérieures","Musique électronique","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 2 et 4 heures","Homme","DUT","j'en sais rien","Je fais du sport","2","Je suis salarié"
"2020/02/05 10:17:40 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Rap/Musique de type street","Depuis le lycée","Achat d'albums physiques / dématérialisés","Enceinte","Plus de 8 heures","Homme","CPGE","2.9","Je fais du sport","1","Non"
"2020/02/06 8:11:00 AM UTC+1","Oui","Pop/Commercial","Depuis le lycée","Reggae","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","CPGE","3.5","Je fais du sport","2","Non"
"2020/02/06 8:16:34 AM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis mon arrivée aux Mines d'Alès","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 2 et 4 heures","Femme","CPGE","3,1","Je fais du sport","3","Oui"
"2020/02/06 9:41:49 AM UTC+1","Oui","Rock/Metal","Depuis mon arrivée aux Mines d'Alès","Pop/Commercial","Depuis l'entrée en études supérieures","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 1 et 2 heures","Homme","DUT","Oui","Aucun des deux","4","Non"
"2020/02/06 10:11:45 AM UTC+1","Oui","Classique","Depuis le lycée","Jazz","Depuis mon arrivée aux Mines d'Alès","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Plus de 8 heures","Homme","CPGE","3","Les deux","2","Non"
"2020/02/06 10:12:37 AM UTC+1","Oui","Jazz","Depuis le collège","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Plus de 8 heures","Homme","CPGE","3.2","Aucun des deux","1","Oui"
"2020/02/06 11:26:24 AM UTC+1","Oui","Rock/Metal","Depuis ma prime jeunesse","Pop/Commercial","Depuis ma prime jeunesse","Achat d'albums physiques / dématérialisés","Voiture","Entre 2 et 4 heures","Homme","DUT","🤷‍♀️","Aucun des deux","3","Je suis salarié"
"2020/02/06 11:32:16 AM UTC+1","Bien sûr","Rap/Musique de type street","Depuis l'entrée en études supérieures","","","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 2 et 4 heures","Homme","CPGE","2.9","Je fais du sport","3","Non"
"2020/02/06 12:28:45 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","Musique électronique","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 2 et 4 heures","Homme","CPGE","3,4","Les deux","2","Oui"
